"count","seller","avg_review"
"40","65febd49fd28ec955651299159b1f527","4.2"
"18","f4a04f7be452aa3bb31760bf00055dd0","4.7"
"11","b080809eaacb49e5ca07290981472431","4.8"
"14","768de2a4fc06aacecb9a586ccc30746a","4.4"
"12","bfd938b22bc99bce1ae60dc602889f52","3.1"
"20","270297ead4c65a6cd2593960d2af6b21","3.7"
"17","a08692680c77d30a0b4280da5df01c5a","5.0"
"11","0570350b23eda5444f8d1d9544932058","5.0"
"13","f52c2422904463fdd7741f99045fecb6","4.3"
"22","5b664594895aefb418afaee6d40a9a23","3.6"
"22","c72de06d72748d1a0dfb2125be43ba63","4.5"
"33","cac876b37d3abcd6bd76caca30277996","4.6"
"38","14a08204d03bb6b6bde8029f801ae0eb","3.8"
"35","94e93ce877be27a515118dbfd2c2be41","3.9"
"13","ed859002ad59dbf8cf3602696a6c3000","4.0"
"19","094ced053e257ae8cae57205592d6712","4.1"
"14","e2c92f9c1c7746d899d18f2e158bbff7","4.1"
"11","b2eecf5ea250510da76590ca79d60e5d","5.0"
"24","845e8036c3f7bf62099352f5ed910240","3.8"
