"seller_id","percentage_on_time","avg_review_score"
"048c2757535328e0d7dac690ad3c0aae","0.88","4.2"
"11305281b50fff20ae8bb473f8e11876","0.88","4.4"
"643214e62b870443ccbe55ab29a4dccf","0.88","4.4"
"77a515caa36327151d1cc6c32a9f00e1","0.88","4.4"
"ba143b05f0110f0dc71ad71b4466ce92","0.88","4.4"
"768a86e36ad6aae3d03ee3c6433d61df","0.88","4.6"
"23a0ffca143a15b9b5bbdb7d552f626a","0.88","4.0"
"610f72e407cdd7caaa2f8167b0163fd8","0.88","3.7"
"c794dab4928dd97beb41d05514441e86","0.88","4.4"
"8b28d096634035667e8263d57ba3368c","0.88","3.9"
"b1fc4f64df5a0e8b6913ab38803c57a9","0.88","3.8"
"e2aee0892199b1d92530e371abd825bf","0.88","3.8"
"b33e7c55446eabf8fe1a42d037ac7d6d","0.88","4.2"
"c8467937e403e76a8ee9f0ab13f6f5ef","0.88","4.1"
"891071be6ba827b591264c90c2ae8a63","0.88","3.7"
"54c04bdb5ec46762f8f08c7e8f86ed4a","0.89","4.3"
"1caf283236cd69af44cbc09a0a1e7d32","0.89","4.5"
"fd386aa7bed2af3c7035c65506c9b4a3","0.89","4.4"
"318f287a62ab7ac10b703ac37435a231","0.89","3.9"
"b2479f944e1b90cf8a5de1bbfde284d6","0.89","3.3"
"7586919161935337bf6b6d7ff5779648","0.89","3.2"
"7ad32824caee82087b3e2e5f33b1bf32","0.89","3.8"
"ec4608a1f76453166bb312b2968aeaf4","0.89","2.7"
"c31eff8334d6b3047ed34bebd4d62c36","0.89","3.9"
"0ffa40d54288e4f3499b8780dd0f144f","0.89","4.4"
"f3da5b2ff499efb8d4a6d371d175d7dd","0.89","3.8"
"59b22a78efb79a4797979612b885db36","0.89","4.0"
"75d34ebb1bd0bd7dde40dd507b8169c3","0.89","3.8"
"972d0f9cf61b499a4812cf0bfa3ad3c4","0.89","3.0"
"e81e1f9c3e762e620f3fb60a51499e16","0.89","3.8"
"4c8b8048e33af2bf94f2eb547746a916","0.89","3.1"
"23c38debaffe4a25a30fdbd9b586a13f","0.89","4.3"
"897060da8b9a21f655304d50fd935913","0.89","3.4"
